ingredient_norm,product_ids,product_names
a,colgate-herbal-fluoride-toothpaste-125ml-2,Colgate Herbal Fluoride Toothpaste 125ml
buy in dozens,colgate-anti-cavity-toothpaste-with-fluoride-6-9-years-strawberry-mint-flavor-60ml-2,Colgate Anti-Cavity Toothpaste With Fluoride 6-9 Years Strawberry Mint Flavor 60ml
gluten,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
nan,colgate-fluoride-toothpaste-total-12-whole-mouth-health-clean-mint-50ml-2|dove-go-fresh-revive-pomegranate-lemen-verbena-scent-bar-soap-100g-2|lollis-beauty-make-up-professional-touch-smooth-primer-base-make-up-studio-finish-lp-155-2|lollis-beauty-make-up-real-look-mascara-with-keratin-lp-252-2|lollis-beauty-make-up-ultra-black-dipliner-lp-301-2|palmolive-aroma-sensations-feel-good-oil-sensation-with-essential-oils-bright-shower-gel-500ml-2|st-ives-acne-control-apricot-scrub-283g-2|vaseline-hair-care-shampoo-milk-nutrient-shampoo-650ml-2|vaseline-thick-skiny-milk-nutrient-shampoo-650ml-2,"Colgate Fluoride Toothpaste Total 12 Whole Mouth Health Clean Mint 50ml|Dove Go Fresh Revive Pomegranate & Lemen Verbena Scent Bar Soap 100g|Lollis Beauty Make up Professional Touch Smooth Primer Base Make up Studio Finish, LP-155|Lollis Beauty Make up Real Look Mascara with Keratin, LP-252|Lollis Beauty Make up Ultra Black Dipliner, LP-301|Palmolive Aroma Sensations Feel Good Oil Sensation With Essential Oils Bright Shower Gel 500ml|St.Ives Acne Control Apricot Scrub 283g|Vaseline Hair Care Shampoo Milk Nutrient Shampoo 650ml|Vaseline Thick & Skiny Milk Nutrient Shampoo 650ml"
no mineral oil,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
or propylene,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
parabens,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
paraffin,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
phthalates,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
save get 12 bars for the price of 10 m-s301,colgate-anti-cavity-toothpaste-with-fluoride-6-9-years-strawberry-mint-flavor-60ml-2,Colgate Anti-Cavity Toothpaste With Fluoride 6-9 Years Strawberry Mint Flavor 60ml
silicones,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
sku n,colgate-herbal-fluoride-toothpaste-125ml-2,Colgate Herbal Fluoride Toothpaste 125ml
sulfates,lollis-beauty-make-up-long-lasting-tattoo-waterproof-dipliner-lp-300-2,"Lollis Beauty Make up Long Lasting Tattoo Waterproof Dipliner, LP-300"
